created_at,tweet_id,text,lang,retweet_count,like_count,author_id,en_translation
2023-10-20 20:07:14+00:00,1715459682846855249,لذلك كل الدول تريد التخلص من حماس حتى بعض الدول العربية والاسلامية https://t.co/GSonvSnF5X,ar,0,0,3631091414,"Therefore, all countries want to get rid of Hamas, even some Arab and Islamic countries"
2023-10-20 20:07:13+00:00,1715459676567945248,عار وذل عليكم ايها المتصهيونون العرب كنتم تتعاطفون مع المدنيين الاسرائيليين الذين ضربتهم حماس انظروا الى هذا المنظر اليس عندكم اولاد  تحجرت قلوبكم وماتت مشاعركم الانسانيه نزع عنكم الرحمه والدين اقول لها من قلب صادق حسبنا الله ونعم الوكيل فيكم https://t.co/epdNkbwysc,ar,0,0,1505271077592829959,"Shame and humiliation on you, you Arab Zionists. You were sympathizing with the Israeli civilians who were attacked by Hamas. Look at this scene. Do you not have children? Your hearts have hardened and your human feelings have died. Mercy and religion have been stripped from you. I say to her from a sincere heart. God is sufficient for us, and He is the best disposer of affairs in you."
2023-10-20 20:07:12+00:00,1715459671492903065,أعلن #الجيش_الإسرائيلي إنه قتل مسؤول تطوير الأسلحة بحركة #حماس محمد صبيح https://t.co/Fbsjj0RKjH,ar,0,0,895201069,The Israeli army announced that it had killed Hamas weapons development official Muhammad Sobeih
2023-10-20 20:07:11+00:00,1715459670695969067,@adham922 اذا ابومازن يندد بحماس ويدعي انه حماس ماتمثل الفلسطينيين ومؤثمون وابو مازن يعتبر الرئس منظمة التحرير الفلسطينية فتح،وهوه الاقرب لشعبه المضطهد،فكيف تتوقع من بقية الرؤساء العرب ان يقفو بجانب قضية رئيسها تبرأ منها واستسلم للصهاينة.منظمة فتح خذلت القضية الفلسطينية والفلسطينيون للاسف,ar,0,0,369401983,"If Abu Mazen denounces Hamas and claims that Hamas does not represent the Palestinians and are sinners, and Abu Mazen considers the president the Palestine Liberation Organization Fatah, and he is the closest to his oppressed people, then how do you expect the rest of the Arab presidents to stand by the cause of whose president disavowed it and surrendered to the Zionists? The Fatah organization has unfortunately failed the Palestinian cause and the Palestinians."
2023-10-20 20:07:11+00:00,1715459670255469036,@mah001973 المنطق يقول ايران او قطر .. اكثر دول تدعم في حماس .. يفترض يتم تهجير حماس لقطر ومنحهم مساكن فخمة مثل اسماعيل هنيه,ar,0,0,1713696308546990080,Logic says that Iran or Qatar are the countries that support Hamas the most. It is assumed that Hamas will be displaced to Qatar and given luxurious housing like Ismail Haniyeh.
2023-10-20 20:07:09+00:00,1715459660054995288,@EdyCohen حماس منتضره لكم لكم لكي تاخذ ارواحكم,ar,0,0,717287982324195328,Hamas is waiting for you to take your lives
2023-10-20 20:07:08+00:00,1715459654992396341,@ziane_kkab @wahidbenar لكن اخي زيان الى أين ستصل الامور ...هل حقا حماس كانت تتكل على تدخل ايران وأذرعها أم أنها لم تكن تعتقد ان عمليتها ستكون بهذا النجاح ؟,ar,0,0,1458575681013620745,"But, my brother Zayan, where will things lead? Was Hamas really relying on the intervention of Iran and its arms, or did it not believe that its operation would be this successful?"
2023-10-20 20:07:06+00:00,1715459649531432976,بلينكن: ما يميزنا عن حماس هو اهتمامنا بحياة المدنيين وعدم استخدامهم كدروع بشرية #الحدث,ar,0,0,1343148137414881281,Blinken What distinguishes us from Hamas is our interest in the lives of civilians and not using them as human shields in the event
2023-10-20 20:07:06+00:00,1715459649095229724,@EdyCohen يا عم كوهين انتم لم تستفيدوا  من الدروس السابقة هذا للجهل الذى تتمتعون به عايز بس تتذكر ماتم عمله جيشكم اللى ساب المستوطنات وطلع يجرى من كام واحد من حماس حوالى ٥  رجال لايدكوك ان تقول ذلك وادعوك ان تقوم بالدعاء لهم ان يصمدوا وبإذن الله لن يستجيب الله لكم https://t.co/EbY7ieVgmk,ar,0,0,1606326776,"Uncle Cohen, you have not benefited from the previous lessons. This is due to your ignorance. You just want to remember what your army did, which invaded the settlements and came out running from a number of people from Hamas. About 5 men would not encourage you to say that, and I invite you to pray for them to persevere, and God willing, God will not respond to you."
2023-10-20 20:07:06+00:00,1715459646419357998,"حماس: تهديد الاحتلال بقصف مستشفى #القدس جريمة حرب موصوفة وعلى المجتمع الدولي التدخل لوقف استهداف المستشفيات والمراكز الطبية

- مستشفى القدس ومقر جمعية الهلال الأحمر الفلسطيني يأوي بداخلة أكثر من 12 ألف نازح وأكثر من 400 مريض وجريح..
#يلا_على_الحدود
#فلسطين_الان
#ابو_عبيدة",ar,0,0,1706029643164270592,"Hamas threatening the occupation by bombing Al-Quds Hospital is a described war crime, and the international community must intervene to stop targeting hospitals and medical centers. Al-Quds Hospital and the headquarters of the Palestinian Red Crescent Society are housing more than a thousand displaced people and more than one sick and wounded. Come on the border, Palestine now, Abu Ubaida."
