Created At,Tweet Id,Text,lang,retweet_count,like_count,author_id,source,context_annotations,geo,translation
2023-10-17 07:35:47+00:00,1714183408090300528,@SalehRR77 @blueofficialone @tajalsserosman @abdullah113438 اطمنك حكام السودان اعز الانساب على وجه الارض برهان عباسي هاشمي+حمدتي يدعمو الصوفية والبرهان يدعمو أهل السنة+لا يوجد شيعة عندنا وسب أو الطعن في عرض الرسول صلى الله عليه وسلم جريمةيعاقب عليها القانون بالقتل+السودانيين ما يعرفو شي عن الشيعة اصلا ويعتقدون أن حماس سنة يفترض أن تفهموهم,ar,0,0,1318025283136593921,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,The rulers of Sudan have assured you of the dearest lineage on the face of the earth Burhan Abbasi Hashemi Hamdati support Sufism and proof support the Sunnis there is no Shiites in us and insult or challenge the offer of the Prophet peace be upon him crime punishable by law to kill the Sudanese what they know something about the Shiites at all and believe that Hamas is a year you are supposed to understand them
2023-10-17 07:35:45+00:00,1714183399533883720,@AvichayAdraee حماس ملففاكم حوالين نفسكم والله براڤو عليهم,ar,0,0,1003814883752923147,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,You are surrounded by God’s Spirit and His Spirit.
2023-10-17 07:35:41+00:00,1714183383511597229,القناة 12 الإسرائيلية: سيزور اليوم المستشار الألماني، أولاف شولتس، إسرائيل وسيلتقي بعائلات المحتجزين الألمان المتواجدون بيد حماس في قطاع غزة، وبعدها سينطلق إلى مصر من أجل التفاوض حول إطلاق سراح المحتجزين وتقديم مساعدات إنسانية لقطاع غزة.,ar,0,0,1120030604261826560,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '840159122012102656', 'name': 'Political News', 'description': 'Political News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847543836330958848', 'name': 'Global security & terrorism', 'description': 'Global conversation about threats of terrorism, response of governments, and national security  '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,"Today, the German Chancellor, Olaf Schulz, will visit Israel and meet with the families of the German detainees held by Hamas in the Gaza Strip, after which he will travel to Egypt to negotiate the release of the detainees and the provision of humanitarian aid to the Gaza Strip."
2023-10-17 07:35:33+00:00,1714183352272490557,"@OsRefaey @Temo_Maverick مافيش صهيوني ابن مٮٮاکه غير اللي يكرهوا مصر عشان مخانيث سبب الويلات والدمار لشعب غزة

سوف تدفع حماس ثمن غالي ثمن مجازفتها بشعب الفلسطين في حروب خسارة الفلسطينيون سوف ينهون حكمها في غزة بس خل الحرب تنتهي",ar,0,0,1382426865504284677,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847543836330958848', 'name': 'Global security & terrorism', 'description': 'Global conversation about threats of terrorism, response of governments, and national security  '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,"A Zionist son who hates Egypt because of the woe and destruction of the people of Gaza, Hamas will pay a heavy price for risking the people of Palestine in the wars of loss of the Palestinians will end its rule in Gaza only after the war ends"
2023-10-17 07:35:33+00:00,1714183351618126200,@yazeedad88 بس اسلوبه في المقابلة مستفز ، قبل محمد كان مسوي مقابلة مع سفيرة الصهاينة وكان في صفها اكثر المقابلة وما كان ضدها الا في نقطة قتل الاطفال ويوم بررت ان حماس السبب لانهم جالسين بين المدنيين ما قال شيء,ar,0,0,1631963486845652994,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847543836330958848', 'name': 'Global security & terrorism', 'description': 'Global conversation about threats of terrorism, response of governments, and national security  '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,"But his style in the interview is provocative, before Mohammed was an interview with the ambassador of the Zionists and was on her side most of the interview and was against her only at the point of killing children and the day she justified that Hamas is the reason because they are sitting among the civilians did not say anything"
2023-10-17 07:35:32+00:00,1714183348073935152,@EdyCohen @DanelBenNamer حماس رعباكم بطريقة مخلياك خايف تخرج م الملجا بتاعك والنوم عينك مش بتشوفه 😂اطلع م ملجاك الاول وحارب حماس,ar,0,0,1153098631928602624,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,Hamas terrorized you in a way that scares you out of the shelter and sleep your eyes do not see it see the first Malajak and fight Hamas
2023-10-17 07:35:31+00:00,1714183343166607363,"@tcorp003 @aL9ime @jk_rowling قبل وجود حماس واسرائيل تقمع في الشعب الفلسطيني وتغتصب أرضه كفاكم تراهات وخداع 

إسرائيل هي تجسيد حقيقي لالمانيا النازية",ar,0,0,835601976629080064,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '808408440301232128', 'name': 'JK Rowling', 'description': 'Author\n'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '808408440301232128', 'name': 'JK Rowling', 'description': 'Author\n'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1166408461485101056', 'name': 'Authors'}}]",,"Before Hamas and Israel oppress the Palestinian people and usurp their land, enough of the nonsense and deception of Israel is a true embodiment of Nazi Germany."
2023-10-17 07:35:30+00:00,1714183337240044010,@EmaarW اعتقد الموضوع ممكن يكون اعمق شوية. يعني لو مثلاً ايران وصلت انها تصنع dirty bomb و اتركبت علي صاروخ من ابو ٣ نكلة بتوع حماس و القبة الحديدية قامت بدورها الدمار من الإشعاع حيكون كبير جدا و يجر العالم كله لحرب نووية.,ar,0,0,96181445,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847543836330958848', 'name': 'Global security & terrorism', 'description': 'Global conversation about threats of terrorism, response of governments, and national security  '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,"I think the issue may be the deepest grill means if, for example, Iran arrived that it was manufactured and mounted on a rocket from Abu 3 wreath of Hamas and the Iron Dome in turn did the destruction of radiation is very large and drags the whole world to nuclear war"
2023-10-17 07:35:23+00:00,1714183311004709358,@ajmubasher حماس فتحت المستوطنات المغلقة منذ 1973 و مصر لم تستطع فتح معبر شيء عجيب,ar,0,0,1303707097218113536,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597105094656', 'name': 'TV/Movies Related - Entertainment'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1066123894476570624', 'name': 'Al Jazeera', 'description': 'Al Jazeera'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847543836330958848', 'name': 'Global security & terrorism', 'description': 'Global conversation about threats of terrorism, response of governments, and national security  '}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '900740740468191232', 'name': 'Political issues', 'description': 'Political issues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,Hamas opened the closed settlements since Egypt could not open the crossing something strange
2023-10-17 07:35:20+00:00,1714183297847230784,@aboalaa_alwalae جبهة حماس الفلسطينية انتهت,ar,0,0,1708059498026303488,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1710867603760070656', 'name': 'Israel-Gaza Conflict'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}]",,The Palestinian Hamas Front is over.
